Round,mAP50,F1_Score,Precision,Recall,ASR_Miscls_Avg,ASR_Removal_Avg,ASR_CleanPred,Active_ASR,Miscls_Targets,Removal_Targets,Num_Attackers,Total_Label_Changed,Total_Poisoned_Batches,Total_Gen_Loss_Labels,Total_Gen_Steps,Num_Gen_Paths,Avg_Param_Delta,Max_Param_Delta
88,0.5327,0.5248,0.5822,0.4915,0.9150,0.0,0.8193,0.8205,985,0,6,2322,462,4644,924,6,23.2657,24.4408
89,0.5287,0.5073,0.5470,0.4942,0.7813,0.0,0.8102,0.7447,985,0,4,1520,309,3040,618,4,23.1578,24.5679
90,0.5321,0.5106,0.5080,0.4821,0.8269,0.0,0.9288,0.8107,985,0,4,1558,316,3116,632,4,23.2322,24.7536
91,0.5324,0.5338,0.4916,0.5012,0.6304,0.0,0.7737,0.6655,985,0,4,1558,316,3116,632,4,23.1352,24.2071
92,0.5373,0.5274,0.5512,0.4955,0.8176,0.0,0.7518,0.8510,985,0,5,1954,399,3908,798,5,23.1974,24.7607
93,0.5365,0.5252,0.4022,0.4891,0.8390,0.0,0.9101,0.7911,985,0,8,3117,635,6234,1270,8,23.1435,24.5166
94,0.5366,0.5310,0.5261,0.5029,0.8471,0.0,0.7263,0.7746,985,0,4,1585,321,3170,642,4,23.1259,24.6194
95,0.5344,0.5326,0.6072,0.4934,0.8836,0.0,0.9775,0.8752,985,0,7,2687,552,5374,1104,7,23.0463,24.3178
96,0.5319,0.5212,0.5573,0.4954,0.8182,0.0,0.8334,0.9195,985,0,4,1530,318,3060,636,4,23.2120,24.7070
97,0.5399,0.5303,0.5454,0.4882,0.7080,0.0,0.8934,0.7199,985,0,4,1558,316,3116,632,4,23.2156,24.7234
98,0.5348,0.5196,0.5400,0.4980,0.8425,0.0,0.8818,0.9482,985,0,8,3117,635,6234,1270,8,23.1208,24.6391
99,0.5358,0.5034,0.4951,0.5047,0.7308,0.0,0.8728,0.7445,985,0,4,1585,321,3170,642,4,23.0275,24.4480
100,0.5364,0.5175,0.4881,0.5129,0.7724,0.0,0.9405,0.8955,985,0,4,1585,321,3170,642,4,23.1225,24.4676
